Pest / Disease,Technical / Target Pest,Recommended Product,Base Dosage / Acre
"Whitefly, Aphids & Jassids","Whitefly, Aphid, Jassid",HY-COTT,250 ml
,,MAX-COTT,250 ml
,All Sucking Pest,ROLLOUT,250 ml
,Acetamiprid 20% SP,PIXEL ACE,100 g
,Diafenthiuron 50% WP,CROWN,250 g
,Imidacloprid 30.5% SC,PI-MIDA+,100 ml
,Diafenthiuron 47.0% + Bifenthrin 9.4% SC,PRO,250 ml
,,,
Thrips & Black Thrips,Black Thrips,SUPER CLEAR,250 ml
,Thrips & Black Thrips,SECTO,50 ml
,,LUCIA,250 ml
,,TYTE,250 ml
,Fipronil 40% + Imidacloprid 40% WG,PIX-WARNER,40-50 g
,Thiamethoxam 12.6% + Lambda-cyhalothrin 9.5% ZC,TRILOCK,80 ml
,Emamectin Benzoate 1.5% + Fipronil 3.5% SC,PESHWA,250 ml
,Cyantraniliprole 16.9% + Lufenuron 16.9% SC,BLOCK OF,250 ml
Mealybugs,All Sucking Pest,ROLLOUT,250 ml
,Sucking Pest,ALL OUT,250 ml
,Cartap Hydrochloride 50% + Buprofezin 10% WP,TAFE,400 g
,Profenophos 40% + Cypermethrin 4% EC,PIX-PROPER,400 ml
Red Spider Mites,Thrips & Mites,EXTEND,250 ml
,Hexythiazox 5.45% EC,MITOX,200 ml
,Fenpyroximate 5% EC,PROXIMITE,250 ml
,Spiromesifen 22.9% w/w SC,PIXEL MESSI,200 ml
Dusky Cotton Bug,All Sucking Pest,ROLLOUT,250 ml
,Pest & Sucking Pest,VULCAN,250 ml
,Chlorpyriphos 50% + Cypermethrin 5% EC,FATAL 505,400 ml
,Ethion 40% + Cypermethrin 5% EC,ETHIOS,400 ml
"Bollworms (Pink, Spotted, American)","Lepido (American Bollworm, Pink Bollworm, Tobacco Caterpillar, Spotted Bollworm)",SKIPPER,250 ml
,,AKYRA,250 ml
,,EXPEL-R,250 ml
,Chlorantraniliprole 9.3% + Lambda-cyhalothrin 4.6% ZC,LAMIGO,100 ml
,Chlorantraniliprole 18.5% SC,AIMER,60 ml
,Profenophos 40% + Cypermethrin 4% EC,PIX-PROPER,400 ml
,Indoxacarb 14.50% SC,INDOXA,200 ml
Spodoptera & Leaf Roller,BIO,VULCAN,250 ml
,,SMASH / RYDON,100 ml
,Novaluron 5.25% + Emamectin benzoate 0.9% w/w SC,LARVIZIDE,300 ml
,Novaluron 5.25% + Indoxacarb 4.5% w/w SC,PLINTHER,350 ml
,Emamectin Benzoate 1.9% EC,EMAZO,150 ml
,Chlorantraniliprole 4.3% + Abamectin 1.7% w/w SC,YAMATA,250 ml
Termites & Stem Weevil,Stem Borer,FURIOUS,4 kg
,Chlorpyriphos 50% + Cypermethrin 5% EC,FATAL 505,400 ml
,Chlorantraniliprole 0.4% w/w GR,TRAILER GR,4 kg
DISEASES,,,
,,,
,,,
"Alternaria, Grey Mildew, Anthracnose",BIO,PIXEL CURE,250 ml
,BIO,K-PHOS,200 g
,Carbendazim 12% + Mancozeb 63% WP,PI-CAM,300 g
,Propineb 70% WP,PROTOCAL,400 g
,Azoxystrobin 11.5% + Mancozeb 30.10% w/w WP,AZEB,300 g
,Pyraclostrobin 10% + Thifluzamide 10% SC,KENSHIN,200 ml
Bacterial Blight / Angular Leaf Spot,BIO,PROMYCIN,100 g
,Validamycin 3% + Copper Oxychloride 45% WP,KLOCK,400 g
,Copper Sulphate 47.15% + Mancozeb 30% WDG,COZI,500 g
"Fusarium Wilt, Verticillium Wilt, Root Rot",BIO,K-PHOS,200 g
,Carbendazim 12% + Mancozeb 63% WP,PI-CAM,400 g
,Azoxystrobin 18.2% + Difenoconazole 11.4% w/w SC,MYSTER TOP,200 ml
Boll Rot,BIO,PIXEL CURE,250 ml
,Copper Sulphate 47.15% + Mancozeb 30% WDG,COZI,500 g
,Validamycin 3% + Copper Oxychloride 45% WP,KLOCK,400 g
,,,
"NOTE : All sucking pests: Whitefly, Aphid, Jassid, Thrips, Mealybug.
Pest: Bollworm, Stem borer, Leaf roller, Dusky bug.
Pest & sucking pest: Whitefly, Aphid, Jassid, Thrips, Mealybug, Bollworm, Stem borer, Leaf roller, Dusky bug.",,,
,,,
,,,
