Category,Pest / Disease,Product,Technical composition,Dose / Acre,Also fits for,
Insecticide,Brown Plant Hopper (BPH),PIX-ARCHER,Pymetrozine 50% WG,120 g,White-backed Plant Hopper (WBPH),
,,PIXEL DODGER,Dinotefuran 15% + Pymetrozine 45% WG,133 g,White-backed Plant Hopper (WBPH),
,,BLOCKER,Bio Product used for BPH,120g,WBPH,
,,PIX-WARNER,Fipronil 40% + Imidacloprid 40% WG,40-50 g,"Leafhoppers, Thrips & Leaf Folders, ",
,Stem borer,AIMER,Chlorantraniliprole 18.5% SC,60 ml,Leaf folder,
,,TRAILER GR,Chlorantraniliprole 0.4% w/w GR,4 kg,Leaf folder,
,,CARTAR,Cartap Hydrochloride 50% SP,400 g,Leaf folder,
,,TAFE,Cartap Hydrochloride 50% + Buprofezin 10% WP,400 g,"Brown Plant Hopper (BPH) & White-Backed Plant Hopper, ",
,,LAMIGO,Chlorantraniliprole 9.3% + Lambda-cyhalothrin 4.6% ZC,80-100ml/Acre,Leaf folder,
,,EXPEL-R,Bio Product used for controlling Lepidopteran Pests,250 ml,"Leaf folder, Leafhoppers & Thrips, Yellow Stem Borer,Rice Leaf Folder",
,Leaf folder,EMAZO,Emamectin Benzoate 1.9% EC,150 ml,Stem borer,
,,PIX-CLAIM,Emamectin Benzoate 5% SG,80 g,Stem borer,
,,YAMATA,Chlorantraniliprole 4.3% + Abamectin 1.7% w/w SC,250 ml,"Stem borer,Mites & Thrips",
,,LAMIGO,Chlorantraniliprole 9.3% + Lambda-cyhalothrin 4.6% ZC,80-100ml/Acre,Stem borer,
,,EXPEL-R,Bio Product used for controlling Lepidopteran Pests,250 ml,Stem borer,
,,AIMER,Chlorantraniliprole 18.5% SC,60 ml,Stem borer,
,Gundhi bug,FATAL 505,Chlorpyriphos 50% + Cypermethrin 5% EC,400 ml,Hispa,
,,ETHIOS,Ethion 40% + Cypermethrin 5% EC,400 ml,Hispa,
,,PIXSTAR,Bifenthrin 10% EC,200 ml,Hispa,
,Rice hispa,PIXSTAR,Bifenthrin 10% EC,200 ml,Gundhi bug,
,,FIXER,Deltamethrin 1.5% w/w EC,80-100ml/Acre,Gundhi bug,
Fungicide,"Rice blast(Leaf Blast, Neck Blast, and Nodal Blast)",TREATY,Tricyclazole 10% + Tebuconazole 14.4% SC,300 ml,"Sheath blight, False Smut, Grain Discoloration Complex",
,,TREX,Tricyclazole 45% + Hexaconazole 10% WG,200 g,"Sheath blight, False Smut, Grain Discoloration Complex",
,,TRIKOZE,Azoxystrobin 16.7% + Tricyclazole 33.3% SC,200 ml,"Sheath blight, False Smut, Grain Discoloration Complex",
,,PIXEL-SENSA,Picoxystrobin 6.78% + Tricyclazole 20.33% w/w SC,400 ml,Sheath Blight,
,Sheath blight,FUZE,Thifluzamide 24% SC,150 ml,------------,
,,AZUKI,Azoxystrobin 20% + Thifluzamide 15% SC,200 ml,Blast,
,,PROPIS,Propiconazole 25% EC,200 ml,Brown Spots,
,,PRANA,Propiconazole 8.9% w/w EC + Difenoconazole 13.9% w/w EC,200 ml,Brown Spots,
,,TRIKOZE,Azoxystrobin 16.7% + Tricyclazole 33.3% SC,200 ml,"Blast, brown spot",
,BLB (Bacterial Leaf Blight (BLB,COZI,Copper Sulphate 47.15% + Mancozeb 30% WDG,500 g,"Bacterial Leaf Blight (BLB), False Smut, Grain Discoloration",
,,KLOCK,Validamycin 3% + Copper Oxychloride 45% WP,400 g,Sheath Blight,
,False smut,PREVENTO,Tebuconazole 50% + Trifloxystrobin 25% WG,120 g,"Sheath Blight , Neck Blast & Leaf Blast",
,,MYSTER TOP,Azoxystrobin 18.2% + Difenoconazole 11.4% w/w SC,200 ml,"Sheath Blight, Rice Blast , Brown Leaf Spots",
,,AUSTODIA,Azoxystrobin 11% + Tebuconazole 18.30% SC,300 ml,"Sheath Blight , False Smut, Rice Blast & Brown Spot",
